--contingency generator
conID,genID,busID,unitID,q(MW)
1,l_15,2,'1 ',17.4271255179
1,l_14,1,'1 ',1.9611356660
1,l_18,8,'1 ',1.7802713688
1,l_16,3,'1 ',26.3496554248
1,l_17,6,'1 ',-2.6632988009
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg)
0,4,1.0714434691,-26.7022431409
0,1,1.0962212021,-24.0366775750
0,5,1.0723945157,-25.9712755176
0,3,1.0730860334,-27.9784580043
0,8,1.1000000000,-23.6576193160
0,9,1.0561740433,-30.8168780351
0,12,1.0831224130,-26.4411025398
0,7,1.0975787893,-25.0465607295
0,6,1.1000000000,-25.3588272703
0,2,1.0897432730,-25.0297552455
0,10,1.0548565095,-30.1403683252
0,13,1.0758380840,-26.7270509250
0,14,1.0465629343,-29.6583397862
0,11,1.0721404722,-27.8623509074
1,4,1.0712159493,12.0402476199
1,1,1.0962212021,14.7099541034
1,5,1.0722762242,12.7766815927
1,3,1.0730860334,10.7696425155
1,8,1.1000000000,15.0869246680
1,9,1.0538413048,7.7793672171
1,12,1.0499905272,11.1030279286
1,7,1.0974719502,13.6972071782
1,6,1.1000000000,13.4240973377
1,2,1.0897432730,13.7164722535
1,10,1.0528349243,8.4909918843
1,13,1.0677214320,11.5574026631
1,14,1.0417600793,8.7886887019
1,11,1.0710113029,10.8475962491
--end of bus
--Delta
contingency id,Delta(MW)
1,0.0025543410
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_6,4,5,'BL',-32.2639044823,8.0307397610,32.3924576417,-7.6252436155
0,i_10,7,8,'BL',-16.6136287479,-1.3072596532,16.6136287479,1.7133483226
0,i_18,5,6,'BL',-5.3682760853,23.1482368505,5.3682760853,-22.0733961309
0,i_11,9,10,'BL',-13.0617361522,6.6557907403,13.1230200366,-6.4929963915
0,i_8,6,12,'BL',10.0126312259,2.5297560079,-9.9042952542,-2.3042786268
0,i_14,12,13,'BL',3.2770453387,0.3325412183,-3.2566141296,-0.3140558386
0,i_2,2,3,'BL',31.0015717264,-0.0080193089,-30.6186134805,-3.5010967308
0,i_16,4,7,'BL',-16.6136287479,-0.8251633572,16.6136287479,1.3072596532
0,i_3,2,4,'BL',20.8798418322,2.6920596561,-20.6556499871,-5.9822101466
0,i_4,2,5,'BL',13.2167972351,4.5803066189,-13.1119151346,-8.3040769000
0,i_13,10,11,'BL',-23.0539835837,0.8212968393,23.4463886441,0.0972801255
0,i_12,9,14,'BL',-5.2919534447,6.3257511179,5.3694611212,-6.1608819058
0,i_1,1,5,'BL',19.5553118334,4.3176903844,-19.3595866693,-9.2949799034
0,i_5,3,4,'BL',-12.5733373980,5.3866422268,12.6871555314,-6.5678265998
0,i_7,6,11,'BL',27.3020451587,2.9359719128,-26.7101693600,-1.6965099592
0,i_15,13,14,'BL',17.0776650028,1.0854722830,-16.6452184332,-0.2049945719
0,i_0,1,2,'BL',35.2409078231,-2.4102993064,-35.0405276925,-3.2855076817
0,i_17,4,9,'BL',15.0661026433,10.3914202585,-15.0661026433,-8.8676163019
0,i_9,6,13,'BL',25.5857468907,7.6691072332,-25.1957102813,-6.9010033919
1,i_6,4,5,'BL',-32.5691095777,7.8534119269,32.6996917094,-7.4415157797
1,i_10,7,8,'BL',-16.6212917709,-1.3734715722,16.6212917709,1.7802713688
1,i_18,5,6,'BL',-5.6741370966,23.0911108885,5.6741370966,-22.0146317513
1,i_11,9,10,'BL',-13.8363971120,6.5650888722,13.9035773873,-6.3866313663
1,i_14,12,13,'BL',-6.6272499155,-1.9717374086,6.7230501502,2.0584138114
1,i_2,2,3,'BL',30.9830927959,-0.0046261851,-30.6005808129,-3.5063699706
1,i_16,4,7,'BL',-16.6212917709,-0.8905310473,16.6212917709,1.3734715722
1,i_3,2,4,'BL',20.9572318915,2.8083741370,-20.7309128330,-6.0912413946
1,i_4,2,5,'BL',13.2192058526,4.6533104945,-13.1138260961,-8.3751224354
1,i_13,10,11,'BL',-23.8345409343,0.7149318140,24.2554247034,0.2703106666
1,i_12,9,14,'BL',-4.0205341048,6.6619331383,4.0898312085,-6.5145289144
1,i_1,1,5,'BL',19.5551502130,4.3754241477,-19.3590487642,-9.3505362418
1,i_5,3,4,'BL',-12.4655687712,5.4856721210,12.5785281157,-6.6687363874
1,i_7,6,11,'BL',28.1491692511,3.1887635593,-27.5192054193,-1.8695405003
1,i_15,13,14,'BL',15.7374848683,0.6085427131,-15.3655885205,0.1486524368
1,i_0,1,2,'BL',35.2538411485,-2.4142884816,-35.0533149598,-3.2810725695
1,i_17,4,9,'BL',15.5628610235,10.8440568184,-15.5628610235,-9.2066166234
1,i_9,6,13,'BL',34.5443737266,10.1931388978,-33.8351944266,-8.7965434720
--end of line flow
