--pqvo
contingency id,bus id,p(MW),q(MVar),v(pu),theta(deg)
0,8,0.3198286705,6.9978376871,1.1000000000,-22.1521780814
0,2,67.9070612864,6.5408487677,1.0914702386,-19.5987561711
0,14,-13.0513021253,-4.5276196776,1.0628888659,-21.2881175306
0,10,-8.8216565510,-5.5537265138,1.0741009586,-21.6264049753
0,3,-74.8601012083,4.5878596654,1.0654281168,-24.3328452965
0,7,0.0000000000,0.0000000000,1.0887940377,-22.1791296638
0,9,-24.6838057442,-15.8249858343,1.0791972371,-22.4012812921
0,6,99.4439165368,-18.5457026432,1.1000000000,-16.4220678840
0,12,-5.6434156307,-1.7413308477,1.0865543243,-17.5091751728
0,11,-3.8463023292,-1.4532033765,1.0816641879,-19.2014359175
0,1,37.9649606792,1.8583895878,1.0956592335,-18.9812492250
0,13,-11.6656732774,-5.2813026921,1.0801097422,-17.9435500107
0,4,-51.2353130857,3.5668879376,1.0697105600,-21.7946417621
0,5,-7.1251290980,-2.0600161503,1.0732899155,-20.5237707893
1,8,0.3257571121,7.2486654965,1.1000000000,-1.2464756107
1,2,67.9446080835,6.6958438931,1.0914702386,1.3605795233
1,14,-13.0513021253,-4.5276196776,1.0598341770,-0.5676455784
1,10,-8.8216565510,-5.5537265138,1.0733983971,-0.7194378353
1,3,-74.7627759581,4.6607196151,1.0654281168,-3.3740819346
1,7,0.0000000000,0.0000000000,1.0883923757,-1.2739369066
1,9,-24.6838057442,-15.8249858343,1.0784377300,-1.5219048361
1,6,99.5204922413,-18.4923646001,1.1000000000,4.6114040618
1,12,-5.6434156307,-1.7413308477,1.0587544994,2.2217217146
1,11,-3.8463023292,-1.4532033765,1.0812228373,1.7689715032
1,1,37.9748414153,1.8920672516,1.0956592335,1.9791161206
1,13,-11.6656732774,-5.2813026921,1.0738404371,2.5963161527
1,4,-51.2353130857,3.5668879376,1.0695266760,-0.8418891353
1,5,-7.1251290980,-2.0600161503,1.0732097524,0.4401441917
--end of pqvo
--Delta
contingency id,Delta(MW)
1,0.0019761472
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar)
0,i_11,7,9,'BL',4.1413332024,9.5062007237,-4.1413332024,-9.4064252347
0,i_14,10,11,'BL',-22.9761315037,6.1272800765,23.3782737056,-5.1859095377
0,i_17,4,7,'BL',3.8215045319,2.6173031897,-3.8215045319,-2.5798013572
0,i_18,4,9,'BL',2.2679210024,4.9215720568,-2.2679210024,-4.7875533732
0,i_19,5,6,'BL',-35.9525226213,24.8652900905,35.9525226213,-21.2339820705
0,i_1,1,5,'BL',15.9641429999,4.3593748158,-15.8253730485,-9.5734759529
0,i_6,4,5,'BL',-57.3737436182,9.7671310492,57.7689120750,-8.5206483738
0,i_9,6,13,'BL',26.1622114161,3.8319371429,-25.7799928628,-3.0792294945
0,i_4,2,5,'BL',13.2243134096,5.1076034124,-13.1161455032,-8.8311819142
0,i_3,2,4,'BL',27.0351998719,3.0208636023,-26.6662575197,-5.8719015073
0,i_10,7,8,'BL',-0.3198286705,-6.9263993665,0.3198286705,6.9978376871
0,i_12,9,10,'BL',-14.0616127044,11.9276856216,14.1544749527,-11.6810065903
0,i_2,2,3,'BL',49.5701523324,1.9868894152,-48.5926014853,-2.9633573233
0,i_0,1,2,'BL',22.0008176793,-2.5009852280,-21.9226043275,-3.5745076622
0,i_15,12,13,'BL',3.7549509268,-0.6300392871,-3.7278241322,0.6545825775
0,i_8,6,12,'BL',9.4916101689,1.3053575294,-9.3983665576,-1.1112915606
0,i_16,13,14,'BL',17.8421437175,-2.8566557751,-17.3637679893,3.8306470052
0,i_13,9,14,'BL',-4.2129388351,8.5699740077,4.3124658639,-8.3582666828
0,i_5,3,4,'BL',-26.2674997230,7.5512169887,26.7152625180,-7.8672168506
0,i_7,6,11,'BL',27.8375723305,-2.4490152450,-27.2245760347,3.7327061612
1,i_11,7,9,'BL',4.6176384681,9.8586973675,-4.6176384681,-9.7486347096
1,i_14,10,11,'BL',-23.5600121389,6.2615967383,23.9832154974,-5.2709243548
1,i_17,4,7,'BL',4.2918813559,2.7319381413,-4.2918813559,-2.6866778938
1,i_18,4,9,'BL',2.5399996791,5.0368603057,-2.5399996791,-4.8915818725
